#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-134.572848,2000,2.225275
-133.985313,2000,5.206251
-105.241236,110,6.297078
-214.65185,1921,8.260661
-143.769484,2000,11.259679
-130.154683,2000,14.241917
-118.630155,62,14.306233
-118.03978,70,14.377999
-110.719272,85,15.434696
-161.925879,1162,16.607082
-108.785941,49,16.659354
-110.366654,81,16.742362
-115.085962,70,16.815348
-104.641322,59,16.877975
-103.786395,94,16.97494
-103.617281,50,17.028117
-142.210492,2000,19.972788
-113.360362,98,20.069834
-114.775567,82,20.154632
-121.218644,93,20.248008
-119.975763,160,20.40261
-130.705563,2000,23.502902
-111.231424,57,23.565417
-117.532741,73,23.642075
-108.274233,137,24.829704
-177.401726,1425,26.290417
-103.011019,66,26.359208
-116.028805,81,26.44079
-113.310697,2000,29.636318
-112.642387,168,29.821889
-110.880795,89,29.921329
-104.813335,60,29.988646
-106.634796,76,30.071001
-106.407,73,31.198361
-110.033472,42,31.252377
-128.568257,2000,34.398592
-107.536288,96,34.497524
-107.844884,70,34.570381
-115.502688,70,34.642991
-122.396358,2000,37.750971
-119.205803,84,37.844709
-102.587979,92,37.946031
-107.175641,52,38.003592
-119.93223,2000,41.124924
-102.418607,50,41.184784
-137.693864,2000,44.228733
-130.824549,2000,47.421133
-127.946235,2000,50.535426
-129.391379,2000,53.691486
-127.954654,2000,56.826024
-126.299913,663,57.548297
-149.357536,1021,58.67749
-128.790439,2000,61.771507
-91.360641,2000,64.861839
-118.929649,578,66.531134
-126.918403,696,67.254631
-91.210787,2000,70.405223
-125.062974,2000,73.625177
-181.680747,1899,76.757695
-108.600535,57,76.822128
-148.623577,1360,79.327558
-125.056267,2000,82.597023
-111.921345,2000,85.781958
-113.611724,62,85.851386
-108.02769,115,85.971051
-105.933356,101,86.076415
-111.9408,2000,89.259799
-99.915654,140,89.40191
-116.473668,2000,92.517435
-130.947067,753,93.28379
-106.172346,59,93.3488
-103.934897,2000,96.595714
-110.028491,440,97.055302
-221.663567,1972,100.133296
-126.646353,2000,103.303818
-106.546263,2000,106.54337
-140.673868,1020,108.701087
-124.762183,2000,111.962769
-108.900141,81,112.046109
-118.390252,594,112.663623
-121.891392,2000,115.870868
-109.998503,2000,119.131726
-124.617819,2000,122.375814
-123.116615,649,123.103882
-124.663659,2000,126.27557
-111.427975,483,126.779494
-115.748754,59,126.843583
-125.710498,94,128.031609
-152.480551,1362,129.444637
-114.833747,75,129.523692
-94.346194,216,129.754818
-102.940412,56,129.815856
-139.935486,886,131.912718
-104.152071,58,131.975746
-112.791985,495,132.487456
-125.80724,710,133.234823
-111.336069,2000,136.53903
-71.485594,2000,139.769434
-118.539728,2000,143.039706
-74.109846,2000,146.442693
-107.757701,50,146.502283
-103.091938,2000,149.728611
-118.858019,67,149.803537
-107.704958,423,151.314036
-115.250734,538,151.883628
-122.322002,93,151.979452
-121.167335,2000,155.257189
-121.579747,2000,158.655438
-108.11785,2000,162.073655
-83.115343,2000,165.30943
-121.444854,2000,168.62608
-121.086138,2000,172.126247
-124.743895,669,172.894694
-119.583596,609,173.610209
-99.16205,2000,176.865634
-112.124842,55,176.925851
-120.720611,122,177.048715
-109.102319,473,178.63164
-108.079308,34,178.674474
-115.609038,561,179.255941
-114.630661,61,179.321829
-98.593882,2000,182.513722
-116.561621,597,183.14587
-104.653965,2000,186.306662
-106.140318,413,186.731777
-95.381124,234,188.156557
-117.73117,590,188.832872
-99.946325,2000,192.026303
-116.52488,2000,195.283769
-102.950291,2000,198.620791
-117.47754,2000,201.753489
-96.69735,294,202.06185
-118.064429,2000,205.429297
-114.441324,542,206.014068
-117.645711,2000,209.178787
-117.071932,2000,212.588458
-103.969832,385,213.038947
-97.73749,2000,216.352934
-102.381875,62,216.428793
-107.940033,456,216.9647
-101.674195,68,218.194364
-106.655313,424,218.690063
-114.942629,2000,222.171219
-105.397201,409,222.597082
-125.590326,85,222.683462
-99.76953,2000,225.933951
-100.467059,330,226.308992
-109.297055,2000,229.631036
-110.213489,474,230.176984
-99.486823,306,230.488636
-154.730955,1084,232.852387
-95.479949,2000,236.309736
-125.548637,524,236.84027
-93.776688,2000,240.056651
-111.241173,2000,243.345956
-103.34063,54,243.405465
-113.172054,968,245.491108
-111.684091,526,246.059893
-103.138183,69,246.14435
-158.655216,1860,249.303925
-110.841474,2000,252.688271
-96.493009,2000,256.092199
-62.079598,2000,259.415404
-94.239253,2000,262.777003
-179.232288,1314,264.307447
-114.40333,61,264.380494
-122.860435,86,264.479351
-113.495951,49,264.539251
-116.332525,1256,267.060721
-50.905571,2000,270.400741
-107.135491,2000,273.671513
-108.283899,47,273.726418
-128.192585,106,273.846602
-103.186084,398,274.298967
-100.881367,367,275.82369
-114.977478,54,275.888691
-107.986717,60,275.958428
-104.050656,397,276.371501
-85.775449,2000,279.534511
-99.290734,2000,282.724753
-101.026738,61,282.791129
-105.100029,414,283.237653
-88.449609,2000,286.492064
-69.264695,2000,289.709039
-122.063353,1305,292.226985
-109.7629,519,292.829481
-121.759068,146,292.996451
-58.372134,2000,296.377917
-89.136699,2000,299.876157
-90.384022,2000,303.369496
-21.170678,2000,306.766865
-104.011616,415,307.233675
-107.240462,474,307.750132
-102.752893,385,308.165206
-97.910711,301,309.553582
-103.223719,2000,312.824018
-61.074091,2000,315.059053
-90.054834,2000,318.304218
-112.681174,1407,320.882858
-104.99998,2000,324.112098
-98.195608,326,324.45994
-96.435593,292,324.776589
-34.488413,2000,328.046779
-150.853765,1963,331.488317
-109.309366,2000,334.84157
-87.075475,2000,338.280463
-107.69627,2000,341.674282
-103.171931,982,343.791105
-90.158889,639,344.501776
-117.388588,76,344.590149
-103.377644,2000,347.948261
-99.251535,152,348.105696
-113.326302,68,348.184965
-94.185095,262,348.472725
-92.3656,220,348.723064
-95.628171,255,350.13399
-100.633231,380,350.564019
-135.940456,1114,351.792354
-92.952989,921,353.935204
-104.434969,441,354.408032
-115.737138,69,354.483043
-99.32073,369,354.872106
-37.209035,2000,358.030082
-99.584365,345,358.398207
-103.532288,2000,361.685817
-97.961767,315,362.017696
-94.720136,250,363.376521
-97.551664,327,363.732209
-96.218592,306,364.069714
-97.303127,301,364.391079
-23.838961,2000,367.555251
-70.274921,2000,370.770573
-95.482774,264,371.074893
-110.854601,2000,374.533267
-26.120026,2000,377.79302
-100.38322,365,378.194434
-7.857536,2000,381.588819
-88.722574,2000,384.838659
-54.904735,2000,388.188245
-96.31621,1836,391.314324
-112.840441,1089,393.561054
-90.691255,191,393.772953
-91.212744,240,394.026459
-127.456007,672,394.765228
-97.870907,303,395.113404
-92.666205,204,395.354254
-95.638807,264,396.773784
-28.730147,2000,398.970967
-106.272988,2000,402.296859
-91.806807,190,403.565106
-53.335509,2000,406.994222
-99.022885,432,407.457626
-113.569498,501,407.978983
-94.083269,854,408.857877
-110.966743,2000,412.08909
-34.493351,2000,415.44807
-112.762381,1116,417.882596
-166.216294,1598,420.890335
-97.637259,307,421.235255
-90.571575,913,422.234273
-116.846542,1920,425.38612
-123.366653,796,427.413351
-105.642843,2000,430.813203
-93.466857,233,431.073008
-104.501496,2000,434.383802
-91.74862,837,435.251466
-99.118353,1055,437.580235
-103.928181,492,438.085858
-95.80695,2000,441.44012
-91.481573,200,441.676149
-82.416669,526,442.233573
-92.689834,2000,445.517762
-60.182567,2000,448.774495
-100.744019,2000,452.059262
-90.71044,192,452.271304
-99.383506,2000,455.811004
-67.3695,2000,459.115501
-65.879671,2000,462.446096
-31.676259,2000,465.74806
-110.628366,550,466.329946
-47.237788,2000,469.59736
-89.891703,182,469.826378
-94.738677,268,471.231905
-94.491922,245,471.501207
-94.274257,260,471.800462
-91.82883,204,472.027839
-24.487805,2000,475.314298
-92.699862,222,475.550582
-97.746447,316,475.890845
-104.15351,2000,479.210831
-69.763792,2000,482.634367
-98.238021,346,483.038282
-92.240756,202,483.279914
-136.217317,1468,485.976375
-124.828203,1877,489.082169
-98.170523,329,489.439583
-100.606542,2000,492.723877
-124.132169,364,493.134448
-97.251887,315,493.470248
-103.518874,1069,495.746729
-111.52377,825,496.693783
-144.861213,1195,499.103346
-93.799137,2000,502.437293
-114.327724,1133,504.84956
-87.455885,131,504.999768
-60.247979,2000,508.273255
-146.5108,1916,510.346131
-95.806096,2000,513.694082
-94.419745,2000,517.073934
-107.10852,49,517.138272
-134.890951,1861,520.354809
-134.55804,1788,523.415022
-97.161586,327,523.818146
-86.112702,2000,527.09158
-129.43954,1699,530.168894
-92.254354,247,530.457043
-116.256778,981,532.627561
-84.171991,2000,536.038609
-51.346784,2000,539.380698
-111.865517,48,539.43843
-43.595552,2000,542.689456
-91.412448,2000,546.028657
-119.453694,1632,548.965846
-95.171333,302,549.319497
-92.767802,2000,552.827664
-130.211897,187,553.039311
-97.627851,176,553.240597
-91.526843,2000,556.674208
-92.446517,237,556.9283
-53.298006,2000,560.211113
-83.589588,2000,563.525422
-96.371499,299,563.896313
-96.322498,323,564.287719
-91.993172,2000,567.673711
-92.076139,220,567.937011
-96.265355,318,568.316805
-108.512554,1279,570.841123
-111.854673,1487,573.703789
-94.046954,257,574.00897
-130.034296,1711,577.11155
-135.224231,1980,580.539959
-66.839788,2000,584.006332
-88.372884,2000,587.475993
-95.284301,2000,590.743118
-94.982576,2000,593.983289
-99.792488,386,594.451926
-104.259024,480,595.003064
-86.190613,2000,598.426437
-101.158361,430,598.942774
-42.914074,2000,602.25818
-15.70545,2000,605.614165
-101.559819,153,605.792477
-84.419583,2000,609.126875
-94.669558,287,609.442456
-88.362855,2000,612.908067
-98.194438,329,614.356266
-85.717788,2000,616.528618
-84.277683,2000,619.938743
-95.401778,300,621.371744
-94.390384,300,621.703188
-88.905045,2000,624.926369
-12.367219,2000,628.246054
-80.95802,2000,631.56687
-92.064888,273,631.864847
-123.653067,1592,634.686094
-82.463104,2000,638.093345
-92.061878,2000,641.488909
-4.009629,2000,644.742807
-56.437406,2000,646.928028
-80.52262,2000,650.423029
-120.241658,79,651.615413
-104.847411,105,651.732116
-93.03357,284,652.03893
-91.520382,245,652.312883
-67.376388,2000,655.696248
-79.922529,2000,659.184919
-37.690619,2000,662.439782
